document_id,terms
affda6,cargo iq|audit|singapore|singapore airlines|aligned
12d2ef,stretton|crane|crane worldwide|new customer|stretton said
930639,cargoxs|champ|cargo quality|cargo quality center|quality center
da39f9,joint venture|venture|joint|lufthansa|lufthansa cargo
4349c1,jettainer|lufthansa|smarter|lufthansa cargo|uld
68fcfd,cca|sharing|data sharing|data|pilot
80f8ec,trailer|goldstar|cartwright|curtainsiders|goldstar heathrow
efc7c7,wfs|brussels|cargo station|ceiv-pharma|certification
88d831,tiaca|visits|air cargo supply|cargo supply|cargo supply chain
88b298,cathay|cathay pacific|unilode|ble|pacific
c9d6f8,swissport|swissport cargo|liège|completes|swissport cargo liège
4c6f85,community|frankfurt|air cargo community|cargo community|website
23c732,delta|website|booking|delta cargo|tracking
cee052,aero|brussels|mumbai|mumbai airport|mial
71a016,jettainer|dokasch|repair|uld|corporate
bde5f8,aisats|app|status|cargo tracking|aisats says
3e5116,airships|hybrid|sla|hybrid airships|virgin
fd2eaa,innovation|dhl|innovation center|chicago|innovation centre
7c473a,csafe|incheon|south korea|service centre|korea
4f7c53,startups|accelerator|corporate|kaleido|tech
3e51f5,digital|virgin|suzy|wardle|virgin atlantic
47e272,ltls|digital|automation|technik|warehouses
d6071e,swissport|helsinki|finnair|finnair cargo|helsinki airport
15f11d,gefco|healthcare sector|highest standards|features different|features different temperature
00e5c9,viracopos|iso|iso 9001|9001|recertification
b50a80,cargowise|bolloré|bolloré logistics|rolling|wisetech
ce6e33,ups|marken|acquisition|healthcare logistics|finley
3a7696,online|booking|dhl-gf|quotation|booking service
89f9b2,aisats|india|coolport|kempegowda|aisats coolport
0712df,jettainer|trapp|lufthansa|software|jettware
3228d4,evangelakakis|cca|caristo|perishables market|video
a6907e,booking|cargolux|tool|booking process|digital
5cb3f1,joint venture|venture|joint|united cargo|lufthansa
2f520f,hong|chevalier|aoc|freight forwarder|hong kong
5ea879,de rooy|rooy|jan|jan de|jan de rijk
85d42e,geel|sanofi|kuehne|nagel|warehouse
207490,fraport|cargo 2000|2000|executive board|quality
95414f,india|air india|safety audit|safety|audit
c8cae1,ami|crowley|wholesaler|miami|freight services
828e5a,sensor|smart sensor|kerry|smart|kerry logistics
3f384d,unilode|onasset|bluetooth|readers|interoperability
b2c3f3,end-to-end supply|end-to-end supply chain|buyers|supply chain management|chain management
9005fd,rap e2|shanghai|rap|rap e2 stations|e2 stations
3ffe6e,fulfillment|e-commerce|fulfillment centres|dhl|e-commerce fulfillment
043e88,fedex|express|life science center|science center|trial
50919b,asia|pelican|pharmaserv|cmc|cmc element
e6a436,brazil|temperature-controlled cargo|panalpina|panalpina brazil|tonet
0942b7,eqt|chep|chep aerospace|aerospace|eqt infrastructure
b6a90d,cca|secretary|secretary general|edwin|cool chain association
f41ce5,turkey|e-awb|e-freight|ogur|demir
2443b3,ups|alerts|details|ocean|freight shipments
ffaeb4,core|descartes|mail|tracking|acquisition
dc3996,pelican|pelican biothermal|credo|biothermal|indianapolis
99bc51,swissport|square meters|meters|space|bru
42e9f7,aeo|status|aeo certification|official|authorised
d4f894,chep|air transat|transat|uld|chep aerospace
69fb48,air europa|europa|chep|lightweight|chep aerospace
4ac2b4,time critical|mcc|tcs|critical|freight forwarding
5fffa7,air canada|canada|gta|gta dnata|dnata
7fa1ef,livesensor|lufthansa|tracking|lufthansa offers|lufthansa offers real-time
1b767d,dangerous|dangerous goods|goods|fast|urgent
424172,ceva|headquarters|south|south america|ceva logistics
a6b294,lufthansa|online|lufthansa cargo|new online|basic
a7dc0f,iag|iag cargo|cargo signal|signal|cargo tracking
56356e,iag|software|iag cargo|accenture|said
1a0948,maskargo|unisys|cloud-based|software|functionality
6bc462,cargo iq|cca|new initiative|initiative|pilot
f502be,spare|spare parts|siemens|siemens healthcare|spare parts logistics
fe18f9,singapore|changi|cag|ceiv|changi airport
c83b53,uti|rome|abbate|handling protocols|protocols
2c91c4,oman|oman air|swissport|cargo handling|london
48c4c4,dnata|aircraft|netherlands|dnata netherlands|temperature controlled cargo
541517,schiphol|moving|section|life|dhl-gf
baebdb,sq ft|bolloré|skyline|heathrow|new facility
c8ad4e,mvd|mvd free|mvd free airport|brussels|free airport
5d06da,dnata|brussels|brussels airport|belgium|launches operations
002154,accelya|mercator|revenue|travel|transaction
d24743,penang|ceva|malaysia|ceva logistics|multi-user
290cbe,panalpina|organic|license|fruits|vegetables
0f5119,minnesota|pelican|pelican biothermal|biothermal|awards
eb9bd6,booking|online|etihad|iag|iag cargo
010578,lufthansa|lufthansa cargo|rkn containers|charges|fleet
ef7aa5,tnt|medpak|packaging|materials|cold chain
1ba204,pos|pos aviation|icargo|aviation|ibs
370b99,ups|distribution|sq ft|distribution space|near
6113a5,pps|eyes|critical pps|campaign|critical
6d768b,overland|pharma fleet|kuehne|nagel|fleet
53d415,lufthansa|csafe|container|dedicated fleet|csafe container
155019,bolloré|bolloré logistics|ceiv|ceiv pharma|logistics
8c217f,cargo iq|wisetech|wise|wise tech|wise tech global
79435f,aero|joined|18 companies|organizations|platform
7d4d8b,drop|drop points|points|biothermal|peli
23bb5f,organization|belgium|cargo community|community|brussels
5affdd,dhl freight|freight|dhl|new freight|new freight hub
0af32b,abc|qep|envirotainer|qep accreditation|accreditation
755e77,montreal|swissport|ceiv pharma certified|pharma certified|canada
ab0922,tiaca|jan|jan de|jan de rijk|de rijk
683ad2,reality|augmented|augmented reality|glasses|dhl supply
842c74,turkish|opticooler|dokasch|turkish cargo|dokasch temperature
a53271,chep|air france|france|air france cargo|france cargo
d2c98f,finnair|solar|energy|produced|sustainability
3facbd,app|brussels|application|brucloud|brussels airport
e3b1e4,finnair|mercator|skychain|air cargo management|new cargo terminal
04e2dd,istanbul|logitrans|turkey|new airport|major talking
df89b3,etihad|etihad cargo|jettainer|2021|smart-ulds
3cb955,misskampf|lug aircargo|lug aircargo handling|aircargo|aircargo handling
e25892,ceva|pellegrini|near|near milan|milan
b1ae09,pactl|perishables|shanghai|degrees|degrees celsius
fa3382,aero|pharma|doubles|pharmaceutical shippers|pfizer
2cfb35,iag|hangar|hangar 51|start-ups|programme
ed2f9a,virgin|virgin atlantic|atlantic|wda|pharma zone
c84bab,lufthansa|lufthansa cargo|basic|prices|online
8d1ce7,ceva|installation|ceva logistics|medical equipment|scanners
a6b295,swissport|netherlands|pga|product line|awarded
658202,rates|iata net|net|iata|cargo rates
4a9e11,amerijet|miami|mia|having|ceiv
14c87e,mercator|app|intelligent cargo|intelligent cargo ecosystem|cargo ecosystem
029a81,biothermal|biothermal solutions|natbio|pelican|pelican biothermal
3852c0,charter|cargo charter|hyderabad|ghial|hc3
b6df2a,building|brussels|brussels airport|investment|area
4f9072,nallian|global pharma|global pharma tracker|pharma tracker|tracker
2fb6e0,cargo iq|audit|singapore|singapore airlines|aligned
77f3f2,connection|digital|air france|air france klm|france klm
4dcc54,dhl|dhl global|ceiv|airfreight station|airfreight
6dc3ba,dhl express|express|dhl|wmx|latin
cf094c,rigby|composites|james|cargo composites|cargo containers
b2106c,dnata|icargo|software|ground handler|terminal operation
b4cc0a,website|unisys|maskargo|bookings|online
99b26e,champ|japan customs|japan|aci|customs authority
3785ef,compass|aerospace|mou|compass forwarding|clients
7b02e4,environmental|lan|lan cargo|environmental impact|impact
f18413,dhl|dhl global|ceiv|ceiv pharma|iata ceiv
9b33ef,hong kong airlines|kong airlines|aerospace|hong|hong kong
54868a,delta|delta cargo|variation|rio|rio de
8e4f75,api|lufthansa|smartbooking|digital|booked
47177b,tigers|doozee|quotes|tigers logistics|digitalized services
23f449,abc|freight forwarders|pharma|pharma product|cool chain
0d8c8a,pga|schiphol|van|van stekelenburg|stekelenburg
686c0e,delta|csafe|delta cargo|csafe rap|csafe rap container
ccd888,pharmaport|cathay|cathay pacific|pharmaport 360|360
da582b,flower|data|floriculture|schiphol|data-sharing
aa6a86,cargo iq|scheme|sgs|audit|member
b0c0e9,wco|cargo-xml|cts|wco cts|customs authorities
da8d06,pangea|freight forwarder|freightalia|pangea group|freight
a12ce1,slot|fcs|system|slot booking|re-introduce
3b39e8,cargo flash|flash|sharjah|warehouse|sharjah aviation
fbe0d2,goods declaration|declaration|change|data|universally available
6143a9,mou|aero|iata|ceiv pharma industry|pharma industry standard
ddf27b,cargolux|gdp|guidelines|virgin|virgin atlantic
cc3acf,paris|new cargo facility|cargo facility|adp|new cargo
b82e48,iag|iag cargo|executive team|lynn|changes
346a0c,pharmaport|cathay|cathay pacific|sonoco|hybrid
f8573d,tigers|doozee|rate|freight rate|quote
0a1909,pilot|el paso|paso|status|ftz
8c5019,liege|liege airport|alibaba|alibaba cloud|cloud
893146,e-book|schiphol cargo|schiphol|pharma logistics|releases
e613b5,singapore|global airfreight|ceiv|airfreight|iata ceiv
92e797,ana|japan|ceiv pharma|ceiv|quality
87ce5c,decision|uld|software|riekert|jettainer
9a9e63,ats|credo|point|ats healthcare|drop
eb9449,luxembourg|shanghai|lux-airport|eal|deal
989693,cargolux|gdp|gdp certificate|cv pharma|guidelines
88a9ae,traxon|traxon cdmp|cdmp|champ|flight
13e477,amsterdam|fulfill|service centre|csafe global|csafe
0d16cf,app|brucargo|brussels|brussels airport|customs export
6c2384,iag|iag cargo|accelerator|allread|uld
4031db,unilode|uld|track|onasset|mobile
87665e,swissport|stuttgart|germany|acquisition|largest
c9623b,south|ami|click2ship|africa|south africans
607de0,air cargo center|cargo center|vienna|vienna airport|electricity
659eaf,unisys|digistics|analytics|carriers|allow
3fe5a7,digistics|carriers|unisys|unbeatable|cargo solution
bcf241,app|brucargo|application|brussels|brucloud
9376e0,swiss|sats|cargologic|swiss worldcargo|worldcargo
bccc81,penang|ceva|malaysia|penang international|penang international airport
5d8480,shipchain|parcelive|tracker|microsensors|blockchain
b2df17,zurich|stockholm|service centres|csafe|arlanda
b47125,rsa|fulfilment|rsa global|dubai|new fulfilment
f9e9f0,dhl|arc|singapore|percent|said
e5d88c,kerry|kerry logistics|freight forwarding|biron|cheah
1ec7e3,dakosy|awbs|necessary|röhlig|license
f168db,app|damage|peir|trailers|tcompanies
2def18,yusen|yusen logistics|new operation|logistics|frankfurt
bcb769,lufthansa|ibs|lufthansa cargo|went|2020
ca70a2,tiaca|sustainability|champ|champ cargosystems|cargosystems
a943f1,berlin|ahs|aeroground|aeroground berlin|handling services
67da5c,credo|reserve|pelican|pelican biothermal|biothermal
528361,ftz|dhl|jfk|san|event
2ae73d,engel|parts|ilogistics|ilogistics center|machine
a37c7e,korean|korean air|uld|unilode|uld management
e41096,sia|sia cargo|ceiv pharma|ceiv|community
9ef97e,lödige|swissport|handling system|frankfurt|cargo handling
69140d,dnata|acquisitions|europa|bolloré|uae
868c74,va-q-tec|cathay|cathay pacific|pacific|cathay pacific cargo
920388,tiaca|masterclass|belgium|brussels|data sharing
adcabf,wfs|brussels|ceiv|station|pharma volumes
510fc5,aero|cairo|cairo airport|cairo airport cargo|airport cargo company
a3b93b,biothermal|chile|pelican|brazil|pelican biothermal
d92e1f,malaysia|tigers|pos|pos malaysia|e-commerce
d396af,ceva|ozen|global healthcare|turhan|turhan ozen
ce676a,brussels|mvd|mvd free|mvd free airport|brussels airport
388c3b,unisys|air india|india|digistics|cash
142373,db schenker|schenker|champ|traxon|traxon cargohub
67ee0c,airship|aeroscraft|aeros|cargo airship|capable
316201,iag|applications|ideas|iag cargo|start-ups
8e2253,cargogate|munich|anniversary|munich airport|claudia
460f12,swissport|lhr|hch|cargo handling ltd|handling ltd
2af9b3,dhl|hamburg|stations|certification|ceiv
fa56c3,schenker|db schenker|ship|uship|online
e71da1,dnata|gdp|zurich|gdp certification|distribution
433e04,air logistics|iso|czech|iso 9001|9001
74fc26,rocketspace|programme|lufthansa|lufthansa cargo|round
fdcf8a,gefco|gunn|menlo|freight forwarding division|forwarding division
ba2c74,tarvainen|eye|finnair|helsinki|automated
7b886b,cargospot|champ|linz|linz airport|cargospot handling
0c6197,delta|website|booking|delta cargo|delta cargo said
b4ddb3,dfw|ackerman|board|strategies|cargo strategies
80c2d3,tap|tap air|tap air cargo|channel|platform
44c289,ibs|korean|korean air|icargo|korean air cargo
f5d3b5,jettainer|alitalia|lightweight|replace|weight
25dbaa,aisats|india|bengaluru|south|perishable
4f6e0b,counts|specific|af-klmp|af-klmp cargo|blue
808f8d,dubai|dnata|stake|llc|uae
860431,toronto|peli|peli biothermal|biothermal|network station
4422e6,communities|cargo communities|formalized|today|cooperation
7e122e,dettmer|lhu|lug|hamburg|dettmer group
8c8854,tigers|doozee|quote|freight rate|freight rate quote
1beec7,lot|lot cargo|csafe|csafe global|superior
857ecf,bollore|danish|bollore logistics|global solutions|scandinavian
1b3c2b,lug|hcc|lug aircargo|lug aircargo handling|aircargo
e162b0,icargo|ibs|etihad|etihad cargo|real-time
c981a8,va-q-tec|fulfillment|wuerzburg|packaging systems|thermal
43beb4,skycell|sia|deal|three-year|thrucool
91787c,cyber|cyber freight|amsterdam|schiphol|pharma gateway
6e8b8e,lufthansa|aluminium|composite|composite materials|new containers
ad110d,robots|sawyer|tasks|dhl|machines
702652,shanghai pharma|shanghai|dhl|courier|mou
84a17a,panalpina|cover temperatures|dedicated truck|dedicated truck docks|gdp
95663d,unctad|messaging|cargo-xml|trade|customs authorities
78f74e,chep|latam|uld|uld management|latam airlines
ced76c,nallian|cloud|cloud platform|vie|vienna
60ec8f,swissport|melbourne|australia|melbourne airport|underway
928c4f,blockchain|bita|rim|panalpina|rim logistics
1fe12a,etihad|fresh|etihad cargo|ceiv fresh|attains
2b9812,unilode|digitised|tped|repair|ulds
41b37e,delta|delta cargo|hong|hong kong|kong
c38aab,singapore|panalpina|gdp|hsa|having
52c81f,db schenker|schenker|dubai|dlc|dubai world
8b1a6a,cargolux|rental|va-q-tec|va-q-tainer|equipment
5a79b9,seko|amsterdam|seko logistics|retailers|channel
680c66,db schenker|schenker|dubai|dlc|dlc ii
568143,rap e2|rap|hyderabad|rkn e1|hyd
ee975e,ups|changing|healthcare shipments|healthcare|schiphol
76a480,behne|dokasch|andreas|andreas behne|opticooler
cc9edc,aero|brussels|brussels airport|initiative|pharma
b2075e,ibs|icloud|cargo management system|business functions|american
90e523,said|ceiv|certified|entities|certifications
0c710f,panalpina|quotations|rate|platform|online
dc79ee,sea|gebruder|gebruder weiss|weiss|sea office
f86d94,qatar|airways|qatar airways|airways cargo|qatar airways cargo
db5c51,website|fraport|innovation|innovation website|new website
3cdfdd,bolloré|skyline|sq ft|segro|heathrow
0d7d62,gdp|ceiv-pharma|hsa|panalpina|program
6e89c6,aero|aero welcomes|welcomes|pharmaceutical shippers|stakeholders
b9bcad,e-awbs|iag|iag cargo|penetration|cent
0f83a0,paycargo|van der walt|der walt|walt|van
35c834,pactl|earns|ceiv-pharma|ceiv-pharma certificate|cool-chain
52c150,cargocast|automated|new digital|game-changer|rfid
6cd324,delta|delta cargo|percent|global carrier|earn
e38352,klm cargo|cdmp|klm|traxon|traxon cdmp
3217d2,jettainer|lufthansa|lufthansa cargo|ulds|new center
b74c8a,portal|panalpina|digital|digital portal|quote
41e384,critical|iag|iag cargo|critical product|critical service
ea2ef5,crane|amsterdam|amsterdam airport|netherlands|crane opens
bc9b92,virgin|rap|csafe|virgin atlantic|atlantic
f2a3f8,champ|ccsj|cargo community|community|japanese
af38d5,entries|innovation award|finalists|award|innovation
b8376f,etihad|etihad cargo|micco|rfs|vehicles
60bf0a,zurich|cargologic|cold storage|storage facilities|storage
55b7c1,champ|west|west atlantic|weight|balance
7d15c2,swissport|warehouses|uld|tracking|descartes
cba1f1,nordenberg|gabriel|envirotainer|johan|johan nordenberg
73b7ba,baggage|siemens|baggage handling|incheon|baggage handling system
9ad837,delta|csafe|csafe rap|rap|delta cargo
4d106d,dfw|ceiv|dnata|community|ceiv pharma
ede368,start-up|helpdesk|berlin|dhl global|advice
184645,ami|price|booking|portal|quotes
f91420,dfw|hyderabad|flows|ackerman|ceiv
67ba35,aisats|trial operations|aisats coolport|coolport|commence
cc3b3f,connecta|e-awbs|champ|logitude|forwarders
f1964f,bolloré|b2b|platforms|bolloré logistics|b2c
cb9b83,kerry|kerry logistics|biron|freight forwarding|group
0fad75,priority|priority freight|status|aeo|aeof
714964,swiss|csafe|swiss worldcargo|worldcargo|csafe rap
02ee93,pactl|shanghai|china|abc|mou
197ade,pangea|freight forwarders|champ|logitude|forwarding
7c9f54,smes|cargo iq|ccs|forwarders|trial
43c18d,jettainer|uld|anniversary|jettainer celebrates|celebrates
7b38be,finnair|mikko|tainio|janne|finnair cargo
cdfd69,hive|ciffa|trade|canada|gets
47eac4,pcf|perishables|frankfurt|celebrates|perishable goods
6a0256,workshop|exelsius|iag|iag cargo|academy
30f410,e-freight|qantas|e-freight initiative|paper|qantas freight
e7564d,del|del giudice|giudice|acw|iata
2ffe73,rap e2|rap|atlanta|rap e2 stations|e2 stations
f054c4,lufthansa|cathay|cathay pacific|lufthansa cargo|pacific
6dadad,globalia|applications|conqueror|accepting|globalia logistics
f50334,tracker|global pharma|global pharma tracker|pharma tracker|nallian
047034,percent|pharma|information|growth|changi
14a640,chep|air caraïbes|air caraïbes atlantique|caraïbes|caraïbes atlantique
6c2a13,alitalia|rap|csafe|use|csafe rap
9b4df9,turkish|turkish cargo|envirotainer|qep|accreditation
2a1e1c,champ|oman|oman air|e-awb|oman air cargo
ec73f5,service centres|credo|berlin|peli|peli biothermal
530936,singapore|tempchain|va-q-tec|va-q-tec offers|tempchain service
dfb648,fiumicino|rome|rome fiumicino|rome fiumicino airport|fiumicino airport
c9a56c,pcm|tlx|cargo cover|problem|tlx pcm
7f257c,hong|hong kong|kong|gls|gls hong
efec62,cargocity|committee|user|cargocity user|cargocity user committee
4ac1d2,american|csafe|temperature controlled uld|controlled uld|simpler
845e9c,gefco|gdp|gdp certificate|sea warehouses|road
9e08a3,aero|kansai|kansai airports|international airport|japan
0db6fe,dhl|e-commerce|global gateway|global gateway facility|gateway facility
5823c9,cargo-xml|messaging|electronic|qatar|adopt
edcd14,unilode|nokscoot|uld|said|sudhidhanakul
206239,gebrüder|kapeller|weiss|freight forwarding|forwarder
40041e,e-commerce|mdad|workshop|mdad chief|staff joseph
42d9ca,cargo-partner|square meters|meters|slovenia|center
52a80f,swissport|cargocity|frankfurt|cargocity south|south
d32912,drugs|singapore|requirements|mia|entire
d0452d,echeumuna|reg|reg echeumuna|aerospace|miami
